"datetime","stream_height_ft","date"
2019-03-28 03:04:04,0.0794241252535497,2019-03-28
2019-03-28 06:00:47,0.0790894396551724,2019-03-28
2019-03-28 09:05:45,0.0821481997971602,2019-03-28
2019-03-28 10:07:57,0.081348567444219,2019-03-28
2019-03-28 12:02:39,0.0845404411764706,2019-03-28
2019-03-28 15:04:01,0.0937423935091278,2019-03-28
2019-03-28 18:05:34,0.105671272819473,2019-03-28
2019-03-28 21:04:39,0.110786637931034,2019-03-28
2019-03-28 21:42:51,0.11139610801217,2019-03-28
2019-03-28 21:55:30,0.120235801217039,2019-03-28
2019-03-28 23:24:02,0.122795385395537,2019-03-28
2019-03-28 23:59:59,0.124082783975659,2019-03-28
2019-03-29 00:00:00,0.12,2019-03-29
2019-03-29 02:56:44,0.1262816081499,2019-03-29
2019-03-29 05:59:30,0.130598508277242,2019-03-29
2019-03-29 09:00:15,0.13361378933964,2019-03-29
2019-03-29 12:03:01,0.135321993814808,2019-03-29
2019-03-29 14:59:45,0.139647080225578,2019-03-29
2019-03-29 18:00:30,0.146575404766236,2019-03-29
2019-03-29 18:34:39,0.147833363652902,2019-03-29
2019-03-29 20:57:14,0.148943969437875,2019-03-29
2019-03-29 23:59:59,0.148701109696198,2019-03-29
2019-03-30 12:00:00,NA,2019-03-30
2019-03-31 00:00:00,NA,2019-03-31
2019-03-31 12:00:00,NA,2019-03-31
2019-04-01 00:00:00,NA,2019-04-01
2019-04-01 12:00:00,NA,2019-04-01
2019-04-02 00:00:00,NA,2019-04-02
2019-04-02 12:00:00,NA,2019-04-02
2019-04-03 00:00:00,0.110666666666667,2019-04-03
2019-04-03 03:00:45,0.109165969316597,2019-04-03
2019-04-03 05:57:29,0.107668991166899,2019-04-03
2019-04-03 08:58:15,0.106168293816829,2019-04-03
2019-04-03 12:01:00,0.10533240353324,2019-04-03
2019-04-03 14:59:45,0.105833565783357,2019-04-03
2019-04-03 18:00:30,0.10566620176662,2019-04-03
2019-04-03 20:57:14,0.104835890283589,2019-04-03
2019-04-03 23:59:59,0.104001859600186,2019-04-03
2019-04-04 00:00:00,0.103998944746623,2019-04-04
